,metricName,time,count,total,minimum,maximum,average,queue,metric
84,RoutingDeliveries,2021-12-20T00:03:00.0000000Z,402,3396,1.0,30.0,8.44776119402985,Not.classified,Not.verified
85,RoutingDeliveries,2021-12-20T00:04:00.0000000Z,422,3517,1.0,37.0,8.33412322274881,Not.classified,Not.verified
86,RoutingDeliveries,2021-12-20T00:05:00.0000000Z,406,3327,1.0,30.0,8.19458128078818,Not.classified,Not.verified
87,RoutingDeliveryLatency,2021-12-20T00:03:00.0000000Z,402,46457,19.0,346.0,115.564676616915,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
88,RoutingDeliveryLatency,2021-12-20T00:04:00.0000000Z,422,49336,16.0,384.0,116.909952606635,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
89,RoutingDeliveryLatency,2021-12-20T00:05:00.0000000Z,406,47613,17.0,314.0,117.273399014778,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
90,RoutingDataSizeInBytesDelivered,2021-12-20T00:03:00.0000000Z,402,7155610,,,17800.0248756219,Not.classified,Not.verified
91,RoutingDataSizeInBytesDelivered,2021-12-20T00:04:00.0000000Z,422,7260854,,,17205.8151658768,Not.classified,Not.verified
92,RoutingDataSizeInBytesDelivered,2021-12-20T00:05:00.0000000Z,406,7019095,,,17288.4113300493,Not.classified,Not.verified
93,dailyMessageQuotaUsed,2021-12-20T00:03:00.0000000Z,39,123942,1688.0,5487.0,3178.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
94,dailyMessageQuotaUsed,2021-12-20T00:04:00.0000000Z,39,184958,2932.0,6671.0,4742.51282051282,Tx.tec.performance.protocols.NETWORK,Number of messages sent
95,dailyMessageQuotaUsed,2021-12-20T00:05:00.0000000Z,39,264627,5521.0,9238.0,6785.30769230769,Tx.tec.performance.protocols.NETWORK,Number of messages sent
96,deviceDataUsage,2021-12-20T00:03:00.0000000Z,546,6226105,2.0,44453.0,11403.1227106227,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
97,deviceDataUsage,2021-12-20T00:04:00.0000000Z,573,6230181,2.0,32703.0,10872.9162303665,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
98,deviceDataUsage,2021-12-20T00:05:00.0000000Z,543,6171386,2.0,38823.0,11365.3517495396,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
99,deviceDataUsageV2,2021-12-20T00:03:00.0000000Z,546,6226105,2.0,44453.0,11403.1227106227,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
100,deviceDataUsageV2,2021-12-20T00:04:00.0000000Z,573,6230181,2.0,32703.0,10872.9162303665,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
101,deviceDataUsageV2,2021-12-20T00:05:00.0000000Z,542,6144825,2.0,38823.0,11337.315498155,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
102,totalDeviceCount,2021-12-20T00:03:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
103,totalDeviceCount,2021-12-20T00:04:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
104,totalDeviceCount,2021-12-20T00:05:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
105,connectedDeviceCount,2021-12-20T00:03:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
106,connectedDeviceCount,2021-12-20T00:04:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
107,connectedDeviceCount,2021-12-20T00:05:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
108,d2c.telemetry.ingress.allProtocol,2021-12-20T00:06:00.0000000Z,559,559,1.0,1.0,1.0,Not.classified,Not.verified
109,d2c.telemetry.ingress.allProtocol,2021-12-20T00:07:00.0000000Z,503,503,1.0,1.0,1.0,Not.classified,Not.verified
110,d2c.telemetry.ingress.allProtocol,2021-12-20T00:08:00.0000000Z,571,571,1.0,1.0,1.0,Not.classified,Not.verified
111,d2c.telemetry.ingress.success,2021-12-20T00:06:00.0000000Z,559,559,1.0,1.0,1.0,Not.classified,Not.verified
112,d2c.telemetry.ingress.success,2021-12-20T00:07:00.0000000Z,503,503,1.0,1.0,1.0,Not.classified,Not.verified
113,d2c.telemetry.ingress.success,2021-12-20T00:08:00.0000000Z,571,571,1.0,1.0,1.0,Not.classified,Not.verified
114,devices.totalDevices,2021-12-20T00:06:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
115,devices.totalDevices,2021-12-20T00:07:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
116,devices.totalDevices,2021-12-20T00:08:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
